price,location,advert_no,start_date,brand,series,model,year,mileage,vehicleTransmission,fuelType,bodyType,engineDisplacement,enginePower,driveUnit,fuelTank,swappableness,fromWhom
790000,ANKARA / ÇANKAYA / EMEK MAHALLESİ,21522488,09 Aralık 2022,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2018,90.000 km,Yarı Otomatik,Dizel,Sedan,1598 cc,120 hp,Önden Çekiş,4 lt,Boya-değişen:,Takasa Uygun:,Takasa Uygun Değil,Galeriden
755000,ANKARA / ÇANKAYA / EMEK MAHALLESİ,21522424,09 Aralık 2022,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2016,145.000 km,Yarı Otomatik,Dizel,Sedan,1598 cc,120 hp,Önden Çekiş,4 lt,Boya-değişen:,Takasa Uygun:,Takasa Uygun Değil,Galeriden
975000,KONYA / KARATAY / FEVZİÇAKMAK MAHALLESİ,21522421,09 Aralık 2022,Mercedes - Benz,E,250 CDI BlueEFFICIENCY Avantgarde,2010,157.905 km,Otomatik,Dizel,Sedan,2143 cc,204 hp,Arkadan İtiş,"6,2 lt",Boya-değişen:,Takasa Uygun,Kimden:
470000,BALIKESİR / ALTIEYLÜL / PLEVNE MAHALLESİ,21522398,09 Aralık 2022,Mercedes - Benz,E,270 CDI Avantgarde,2003,413.000 km,Otomatik,Dizel,Sedan,2685 cc,177 hp,Arkadan İtiş,"6,8 lt",Boya-değişen:,Takasa Uygun Değil,Kimden:
410000,ANKARA / ÇANKAYA / EMEK MAHALLESİ,21522333,09 Aralık 2022,Fiat,Egea,1.3 Multijet Urban Plus,2020,72.000 km,Düz,Dizel,Sedan,1248 cc,95 hp,Önden Çekiş,"4,1 lt",Boya-değişen:,Takasa Uygun:,Takasa Uygun Değil,Galeriden
225000,ŞANLIURFA / HİLVAN / YENİ MAHALLESİ,21522289,09 Aralık 2022,Renault,Symbol,1.5 dCi Expression,2008,275.000 km,Düz,Dizel,Sedan,1461 cc,85 hp,Önden Çekiş,"4,3 lt",Boya-değişen:,Takasa Uygun:,Takasa Uygun Değil,Galeriden
3070000,KONYA / KARATAY / FEVZİÇAKMAK MAHALLESİ,21522176,09 Aralık 2022,Audi,A6,A6 Sedan 40 TDI Quattro Design,2022,6.070 km,Yarı Otomatik,Dizel,Sedan,1968 cc,204 hp,4WD (Sürekli),"4,3 lt",Boya-değişen:,Takasa Uygun,Kimden:
399000,ANKARA / MAMAK / GENERAL ZEKİ DOĞAN MAHALLESİ,21521930,09 Aralık 2022,Mazda,3,1.6 Impressive,2011,132.000 km,Otomatik,LPG & Benzin,Hatchback/5,1598 cc,105 hp,Önden Çekiş,"7,5 lt",Boya-değişen:,Takasa Uygun,Kimden:
390000,ANTALYA / AKSU / GÜZELYURT MAHALLESİ,21521964,09 Aralık 2022,Volkswagen,Polo,1.0 Trendline,2018,78.000 km,Düz,Benzin,Hatchback/5,999 cc,75 hp,Önden Çekiş,"4,7 lt",Boya-değişen:,Takasa Uygun:,Takasa Uygun,Galeriden
345750,İSTANBUL / GÜNGÖREN / GÜVEN MAHALLESİ,21521909,09 Aralık 2022,Peugeot,301,1.5 BlueHDI Active,2020,86.000 km,Düz,Dizel,Sedan,1499 cc,102 hp,Önden Çekiş,"3,9 lt",Boya-değişen:,Takasa Uygun:,Takasa Uygun Değil,Galeriden
283000,İSTANBUL / BAŞAKŞEHİR / İKİTELLİ OSB,21521837,09 Aralık 2022,Fiat,Egea,1.3 Multijet Easy,2017,142.000 km,Düz,Dizel,Sedan,1248 cc,95 hp,Önden Çekiş,"4,1 lt",Boya-değişen:,Takasa Uygun Değil,Kimden:
565250,DENİZLİ / MERKEZEFENDİ / KUMKISIK MAHALLESİ,21521816,09 Aralık 2022,Opel,Insignia,1.6 CDTI Grand Sport Design,2017,159.000 km,Otomatik,Dizel,Hatchback/5,1598 cc,136 hp,Önden Çekiş,"5,1 lt",Boya-değişen:,Takasa Uygun,Kimden:
1900000,DENİZLİ / MERKEZEFENDİ / KUMKISIK MAHALLESİ,21521786,09 Aralık 2022,Audi,A7,3.0 TDI,2013,159.000 km,Otomatik,Dizel,Coupe,2967 cc,245 hp,4WD (Sürekli),6 lt,Boya-değişen:,Takasa Uygun,Kimden:
417000,ANKARA / ETİMESGUT / YEŞİLOVA MAHALLESİ,21521548,09 Aralık 2022,Renault,Megane,1.5 dCi Touch,2017,207.000 km,Yarı Otomatik,Dizel,Sedan,1461 cc,110 hp,Önden Çekiş,"3,8 lt",Boya-değişen:,Takasa Uygun,Kimden:
690000,İSTANBUL / BEYLİKDÜZÜ / ADNAN KAHVECİ MAHALLESİ,21521453,09 Aralık 2022,Skoda,Octavia,1.6 TDI Style,2018,140.000 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,115 hp,Önden Çekiş,"3,9 lt",Boya-değişen:,Takasa Uygun,Kimden:
929500,ANKARA / AKYURT / SARACALAR MAHALLESİ,21521404,09 Aralık 2022,BMW,3 Serisi,318i Edition Luxury Line,2018,127.000 km,Otomatik,Benzin,Sedan,1499 cc,136 hp,Arkadan İtiş,5 lt,Boya-değişen:,Takasa Uygun:,Takasa Uygun,Galeriden
469500,ANKARA / AKYURT / SARACALAR MAHALLESİ,21521381,09 Aralık 2022,Opel,Astra,1.6 CDTI Design,2017,69.000 km,Otomatik,Dizel,Sedan,1598 cc,136 hp,Önden Çekiş,"5,1 lt",Boya-değişen:,Takasa Uygun:,Takasa Uygun,Galeriden
332900,DÜZCE / MERKEZ / KÜLTÜR MAHALLESİ,21023313,09 Aralık 2022,Toyota,Corolla,1.4 D-4D Comfort Extra,2011,194.500 km,Yarı Otomatik,Dizel,Sedan,1364 cc,90 hp,Önden Çekiş,"4,8 lt",Boya-değişen:,Takasa Uygun,Kimden:
234900,DÜZCE / MERKEZ / KÜLTÜR MAHALLESİ,21521349,09 Aralık 2022,Hyundai,Accent,1.6 Admire,2006,198.000 km,Düz,LPG & Benzin,Sedan,1599 cc,112 hp,Önden Çekiş,8 lt,Boya-değişen:,Takasa Uygun,Kimden:
124900,DÜZCE / MERKEZ / KÜLTÜR MAHALLESİ,21521304,09 Aralık 2022,Fiat,Palio,1.4 RT,1998,228.000 km,Düz,LPG & Benzin,Hatchback/5,1368 cc,77 hp,Önden Çekiş,"6,1 lt",Boya-değişen:,Takasa Uygun:,Takasa Uygun,Galeriden
465000,İSTANBUL / ESENYURT / GÖKEVLER MAHALLESİ,21521257,09 Aralık 2022,Ford,Focus,1.5 TDCi Trend X,2018,128.000 km,Yarı Otomatik,Dizel,Sedan,1499 cc,120 hp,Önden Çekiş,"4,2 lt",Boya-değişen:,Takasa Uygun,Kimden:
1775000,BALIKESİR / DURSUNBEY / MOLLAOĞLU MAHALLESİ,21521265,09 Aralık 2022,Mercedes - Benz,C,C 200 D AMG,2021,15.000 km,Otomatik,Dizel,Sedan,1598 cc,160 hp,Arkadan İtiş,"4,2 lt",Boya-değişen:,Takasa Uygun:,Takasa Uygun Değil,Galeriden
1035000,MUĞLA / ULA / KÖPRÜBAŞI MAHALLESİ,21521263,09 Aralık 2022,BMW,1 Serisi,116d First Edition Sport Line,2019,53.000 km,Otomatik,Dizel,Hatchback/5,1496 cc,116 hp,Önden Çekiş,"4,2 lt",Boya-değişen:,Takasa Uygun,Kimden:
385000,GAZİANTEP / ŞEHİTKAMİL / KARACAAHMET MAHALLESİ,21001731,09 Aralık 2022,Honda,Civic,1.6 i-VTEC Elegance,2008,209.000 km,Otomatik,LPG & Benzin,Sedan,1595 cc,125 hp,Önden Çekiş,"7,1 lt",Boya-değişen:,Takasa Uygun:,Takasa Uygun,Galeriden
125750,KAYSERİ / KOCASİNAN / YILDIZEVLER MAHALLESİ,21520943,09 Aralık 2022,Fiat,Palio,1.4 EL,2002,280.000 km,Düz,LPG & Benzin,Hatchback/5,1368 cc,77 hp,Önden Çekiş,"6,1 lt",Boya-değişen:,Takasa Uygun,Kimden:
375000,İSTANBUL / SİLİVRİ / ALİPAŞA MAHALLESİ,21520924,09 Aralık 2022,Seat,Ibiza,1.2 TSI Style,2015,120.000 km,Yarı Otomatik,Benzin,Hatchback/5,1197 cc,105 hp,Önden Çekiş,"5,3 lt",Boya-değişen:,Takasa Uygun,Kimden:
455750,KAYSERİ / KOCASİNAN / YILDIZEVLER MAHALLESİ,21520851,09 Aralık 2022,Mercedes - Benz,E,200 Kompressor Avantgarde,2003,339.800 km,Otomatik,LPG & Benzin,Sedan,1796 cc,163 hp,Arkadan İtiş,"8,7 lt",Boya-değişen:,Takasa Uygun,Kimden:
275000,İSTANBUL / SİLİVRİ / ALİPAŞA MAHALLESİ,21520871,09 Aralık 2022,Volvo,S40,1.6,2005,200.000 km,Düz,LPG & Benzin,Sedan,1587 cc,109 hp,Önden Çekiş,"7,7 lt",Boya-değişen:,Takasa Uygun,Kimden:
1140000,BURSA / NİLÜFER / ERTUĞRUL MAHALLESİ,20646097,09 Aralık 2022,BMW,5 Serisi,520i Executive,2016,114.000 km,Otomatik,Benzin,Sedan,1592 cc,170 hp,Arkadan İtiş,"6,7 lt",Boya-değişen:,Takasa Uygun,Kimden:
682900,SAKARYA / SERDİVAN / İSTİKLAL MAHALLESİ,21525362,09 Aralık 2022,Seat,Leon,1.6 TDI Style,2018,68.000 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,115 hp,Önden Çekiş,"4,1 lt",Boya-değişen:,Takasa Uygun Değil,Kimden:
255000,ANTALYA / KEPEZ / AHATLI MAHALLESİ,21525182,09 Aralık 2022,BMW,3 Serisi,320d Standart,2004,415.000 km,Otomatik,Dizel,Sedan,1995 cc,150 hp,Arkadan İtiş,"6,9 lt",Boya-değişen:,Takasa Uygun:,Takasa Uygun Değil,Galeriden
267500,ANKARA / YENİMAHALLE / GAYRET MAHALLESİ,21413216,09 Aralık 2022,Peugeot,207,1.4 HDi Trendy,2011,202.000 km,Düz,Dizel,Hatchback/5,1360 cc,71 hp,Önden Çekiş,"4,4 lt",Boya-değişen:,Takasa Uygun,Kimden:
575750,İSTANBUL / SULTANBEYLİ / TURGUT REİS MAHALLESİ,21393077,09 Aralık 2022,Renault,Megane,1.5 Blue DCI Touch,2020,80.000 km,Yarı Otomatik,Dizel,Sedan,1461 cc,115 hp,Önden Çekiş,"4,2 lt",Boya-değişen:,Takasa Uygun:,Takasa Uygun Değil,Galeriden
368000,ADIYAMAN / KAHTA / MENZİL KÖYÜ,21524361,09 Aralık 2022,Hyundai,Accent Blue,1.6 CRDI Biz,2014,113.000 km,Otomatik,Dizel,Sedan,1582 cc,128 hp,Önden Çekiş,"5,6 lt",Boya-değişen:,Takasa Uygun:,Takasa Uygun Değil,Galeriden
425000,İSTANBUL / MALTEPE / CEVİZLİ MAHALLESİ,21524173,09 Aralık 2022,Volkswagen,Polo,1.4 TDi Comfortline,2016,90.000 km,Yarı Otomatik,Dizel,Hatchback/5,1422 cc,90 hp,Önden Çekiş,"3,5 lt",Boya-değişen:,Takasa Uygun:,Takasa Uygun Değil,Galeriden
270000,ADIYAMAN / KAHTA / ÇOBANLI MAHALLESİ,21522204,09 Aralık 2022,Renault,Symbol,1.4 Expression Plus,2011,145.000 km,Düz,LPG & Benzin,Sedan,1390 cc,75 hp,Önden Çekiş,"7,1 lt",Boya-değişen:,Takasa Uygun Değil,Kimden:
455000,İSTANBUL / BEYLİKDÜZÜ / ADNAN KAHVECİ MAHALLESİ,21523639,09 Aralık 2022,Renault,Megane,1.5 dCi Touch,2018,88.000 km,Yarı Otomatik,Dizel,Sedan,1461 cc,110 hp,Önden Çekiş,"3,8 lt",Boya-değişen:,Takasa Uygun,Kimden:
276950,İSTANBUL / ATAŞEHİR / İNÖNÜ MAHALLESİ,21523561,09 Aralık 2022,Audi,A8,4.2 Quattro,1998,280.000 km,Otomatik,Benzin,Sedan,4172 cc,310 hp,4WD (Sürekli),"12,9 lt",Boya-değişen:,Takasa Uygun:,Takasa Uygun,Galeriden
361500,İSTANBUL / BAHÇELİEVLER / YENİBOSNA MERKEZ MAHALLESİ,21523361,09 Aralık 2022,Peugeot,208,1.4 HDi Active,2014,75.000 km,Yarı Otomatik,Dizel,Hatchback/5,1398 cc,69 hp,Önden Çekiş,"3,4 lt",Boya-değişen:,Takasa Uygun,Kimden:
258950,İSTANBUL / ATAŞEHİR / İNÖNÜ MAHALLESİ,21523549,09 Aralık 2022,Peugeot,301,1.6 HDi Active,2016,130.000 km,Düz,Dizel,Sedan,1560 cc,93 hp,Önden Çekiş,"4,3 lt",Boya-değişen:,Takasa Uygun,Kimden:
233900,ANKARA / YENİMAHALLE / TURGUT ÖZAL MAHALLESİ,21523461,09 Aralık 2022,Renault,Clio,1.4 RXT,2001,106.000 km,Otomatik,Benzin,Hatchback/5,1390 cc,98 hp,Önden Çekiş,"6,7 lt",Boya-değişen:,Takasa Uygun:,Takasa Uygun,Galeriden
239750,SAMSUN / BAFRA / ALTINYAPRAK MAHALLESİ,21523161,09 Aralık 2022,Chevrolet,Aveo,1.3 D LT,2012,169.000 km,Düz,Dizel,Sedan,1248 cc,75 hp,Önden Çekiş,"3,7 lt",Boya-değişen:,Takasa Uygun:,Takasa Uygun Değil,Galeriden
197000,ISPARTA / MERKEZ / DAVRAZ MAHALLESİ,21523077,09 Aralık 2022,Peugeot,307,1.4 HDi XR,2004,202.000 km,Düz,Dizel,Hatchback/5,1398 cc,69 hp,Önden Çekiş,"4,5 lt",Boya-değişen:,Takasa Uygun,Kimden:
158000,ÇORUM / OSMANCIK / YAZI MAHALLESİ,21522734,09 Aralık 2022,Fiat,Siena,1.4 EL,2001,148.000 km,Düz,LPG & Benzin,Sedan,1372 cc,71 hp,Önden Çekiş,51 lt,Takasa Uygun,Galeriden
185000,KONYA / KARATAY / KARAKULAK MAHALLESİ,21271054,09 Aralık 2022,Ford,Fiesta,1.4 TDCi Comfort,2007,270.000 km,Düz,Dizel,Hatchback/5,1399 cc,68 hp,Önden Çekiş,"4,3 lt",Boya-değişen:,Takasa Uygun:,Takasa Uygun,Galeriden
790000,ANKARA / ÇANKAYA / EMEK MAHALLESİ,21522488,09 Aralık 2022,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2018,90.000 km,Yarı Otomatik,Dizel,Sedan,1598 cc,120 hp,Önden Çekiş,4 lt,Boya-değişen:,Takasa Uygun:,Takasa Uygun Değil,Galeriden
755000,ANKARA / ÇANKAYA / EMEK MAHALLESİ,21522424,09 Aralık 2022,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2016,145.000 km,Yarı Otomatik,Dizel,Sedan,1598 cc,120 hp,Önden Çekiş,4 lt,Boya-değişen:,Takasa Uygun:,Takasa Uygun Değil,Galeriden
975000,KONYA / KARATAY / FEVZİÇAKMAK MAHALLESİ,21522421,09 Aralık 2022,Mercedes - Benz,E,250 CDI BlueEFFICIENCY Avantgarde,2010,157.905 km,Otomatik,Dizel,Sedan,2143 cc,204 hp,Arkadan İtiş,"6,2 lt",Boya-değişen:,Takasa Uygun,Kimden:
470000,BALIKESİR / ALTIEYLÜL / PLEVNE MAHALLESİ,21522398,09 Aralık 2022,Mercedes - Benz,E,270 CDI Avantgarde,2003,413.000 km,Otomatik,Dizel,Sedan,2685 cc,177 hp,Arkadan İtiş,"6,8 lt",Boya-değişen:,Takasa Uygun Değil,Kimden:
410000,ANKARA / ÇANKAYA / EMEK MAHALLESİ,21522333,09 Aralık 2022,Fiat,Egea,1.3 Multijet Urban Plus,2020,72.000 km,Düz,Dizel,Sedan,1248 cc,95 hp,Önden Çekiş,"4,1 lt",Boya-değişen:,Takasa Uygun:,Takasa Uygun Değil,Galeriden
225000,ŞANLIURFA / HİLVAN / YENİ MAHALLESİ,21522289,09 Aralık 2022,Renault,Symbol,1.5 dCi Expression,2008,275.000 km,Düz,Dizel,Sedan,1461 cc,85 hp,Önden Çekiş,"4,3 lt",Boya-değişen:,Takasa Uygun:,Takasa Uygun Değil,Galeriden
3070000,KONYA / KARATAY / FEVZİÇAKMAK MAHALLESİ,21522176,09 Aralık 2022,Audi,A6,A6 Sedan 40 TDI Quattro Design,2022,6.070 km,Yarı Otomatik,Dizel,Sedan,1968 cc,204 hp,4WD (Sürekli),"4,3 lt",Boya-değişen:,Takasa Uygun,Kimden:
399000,ANKARA / MAMAK / GENERAL ZEKİ DOĞAN MAHALLESİ,21521930,09 Aralık 2022,Mazda,3,1.6 Impressive,2011,132.000 km,Otomatik,LPG & Benzin,Hatchback/5,1598 cc,105 hp,Önden Çekiş,"7,5 lt",Boya-değişen:,Takasa Uygun,Kimden:
390000,ANTALYA / AKSU / GÜZELYURT MAHALLESİ,21521964,09 Aralık 2022,Volkswagen,Polo,1.0 Trendline,2018,78.000 km,Düz,Benzin,Hatchback/5,999 cc,75 hp,Önden Çekiş,"4,7 lt",Boya-değişen:,Takasa Uygun:,Takasa Uygun,Galeriden
345750,İSTANBUL / GÜNGÖREN / GÜVEN MAHALLESİ,21521909,09 Aralık 2022,Peugeot,301,1.5 BlueHDI Active,2020,86.000 km,Düz,Dizel,Sedan,1499 cc,102 hp,Önden Çekiş,"3,9 lt",Boya-değişen:,Takasa Uygun:,Takasa Uygun Değil,Galeriden
283000,İSTANBUL / BAŞAKŞEHİR / İKİTELLİ OSB,21521837,09 Aralık 2022,Fiat,Egea,1.3 Multijet Easy,2017,142.000 km,Düz,Dizel,Sedan,1248 cc,95 hp,Önden Çekiş,"4,1 lt",Boya-değişen:,Takasa Uygun Değil,Kimden:
565250,DENİZLİ / MERKEZEFENDİ / KUMKISIK MAHALLESİ,21521816,09 Aralık 2022,Opel,Insignia,1.6 CDTI Grand Sport Design,2017,159.000 km,Otomatik,Dizel,Hatchback/5,1598 cc,136 hp,Önden Çekiş,"5,1 lt",Boya-değişen:,Takasa Uygun,Kimden:
1900000,DENİZLİ / MERKEZEFENDİ / KUMKISIK MAHALLESİ,21521786,09 Aralık 2022,Audi,A7,3.0 TDI,2013,159.000 km,Otomatik,Dizel,Coupe,2967 cc,245 hp,4WD (Sürekli),6 lt,Boya-değişen:,Takasa Uygun,Kimden:
417000,ANKARA / ETİMESGUT / YEŞİLOVA MAHALLESİ,21521548,09 Aralık 2022,Renault,Megane,1.5 dCi Touch,2017,207.000 km,Yarı Otomatik,Dizel,Sedan,1461 cc,110 hp,Önden Çekiş,"3,8 lt",Boya-değişen:,Takasa Uygun,Kimden:
690000,İSTANBUL / BEYLİKDÜZÜ / ADNAN KAHVECİ MAHALLESİ,21521453,09 Aralık 2022,Skoda,Octavia,1.6 TDI Style,2018,140.000 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,115 hp,Önden Çekiş,"3,9 lt",Boya-değişen:,Takasa Uygun,Kimden:
929500,ANKARA / AKYURT / SARACALAR MAHALLESİ,21521404,09 Aralık 2022,BMW,3 Serisi,318i Edition Luxury Line,2018,127.000 km,Otomatik,Benzin,Sedan,1499 cc,136 hp,Arkadan İtiş,5 lt,Boya-değişen:,Takasa Uygun:,Takasa Uygun,Galeriden
469500,ANKARA / AKYURT / SARACALAR MAHALLESİ,21521381,09 Aralık 2022,Opel,Astra,1.6 CDTI Design,2017,69.000 km,Otomatik,Dizel,Sedan,1598 cc,136 hp,Önden Çekiş,"5,1 lt",Boya-değişen:,Takasa Uygun:,Takasa Uygun,Galeriden
332900,DÜZCE / MERKEZ / KÜLTÜR MAHALLESİ,21023313,09 Aralık 2022,Toyota,Corolla,1.4 D-4D Comfort Extra,2011,194.500 km,Yarı Otomatik,Dizel,Sedan,1364 cc,90 hp,Önden Çekiş,"4,8 lt",Boya-değişen:,Takasa Uygun,Kimden:
234900,DÜZCE / MERKEZ / KÜLTÜR MAHALLESİ,21521349,09 Aralık 2022,Hyundai,Accent,1.6 Admire,2006,198.000 km,Düz,LPG & Benzin,Sedan,1599 cc,112 hp,Önden Çekiş,8 lt,Boya-değişen:,Takasa Uygun,Kimden:
124900,DÜZCE / MERKEZ / KÜLTÜR MAHALLESİ,21521304,09 Aralık 2022,Fiat,Palio,1.4 RT,1998,228.000 km,Düz,LPG & Benzin,Hatchback/5,1368 cc,77 hp,Önden Çekiş,"6,1 lt",Boya-değişen:,Takasa Uygun:,Takasa Uygun,Galeriden
465000,İSTANBUL / ESENYURT / GÖKEVLER MAHALLESİ,21521257,09 Aralık 2022,Ford,Focus,1.5 TDCi Trend X,2018,128.000 km,Yarı Otomatik,Dizel,Sedan,1499 cc,120 hp,Önden Çekiş,"4,2 lt",Boya-değişen:,Takasa Uygun,Kimden:
1775000,BALIKESİR / DURSUNBEY / MOLLAOĞLU MAHALLESİ,21521265,09 Aralık 2022,Mercedes - Benz,C,C 200 D AMG,2021,15.000 km,Otomatik,Dizel,Sedan,1598 cc,160 hp,Arkadan İtiş,"4,2 lt",Boya-değişen:,Takasa Uygun:,Takasa Uygun Değil,Galeriden
1035000,MUĞLA / ULA / KÖPRÜBAŞI MAHALLESİ,21521263,09 Aralık 2022,BMW,1 Serisi,116d First Edition Sport Line,2019,53.000 km,Otomatik,Dizel,Hatchback/5,1496 cc,116 hp,Önden Çekiş,"4,2 lt",Boya-değişen:,Takasa Uygun,Kimden:
385000,GAZİANTEP / ŞEHİTKAMİL / KARACAAHMET MAHALLESİ,21001731,09 Aralık 2022,Honda,Civic,1.6 i-VTEC Elegance,2008,209.000 km,Otomatik,LPG & Benzin,Sedan,1595 cc,125 hp,Önden Çekiş,"7,1 lt",Boya-değişen:,Takasa Uygun:,Takasa Uygun,Galeriden
125750,KAYSERİ / KOCASİNAN / YILDIZEVLER MAHALLESİ,21520943,09 Aralık 2022,Fiat,Palio,1.4 EL,2002,280.000 km,Düz,LPG & Benzin,Hatchback/5,1368 cc,77 hp,Önden Çekiş,"6,1 lt",Boya-değişen:,Takasa Uygun,Kimden:
375000,İSTANBUL / SİLİVRİ / ALİPAŞA MAHALLESİ,21520924,09 Aralık 2022,Seat,Ibiza,1.2 TSI Style,2015,120.000 km,Yarı Otomatik,Benzin,Hatchback/5,1197 cc,105 hp,Önden Çekiş,"5,3 lt",Boya-değişen:,Takasa Uygun,Kimden:
455750,KAYSERİ / KOCASİNAN / YILDIZEVLER MAHALLESİ,21520851,09 Aralık 2022,Mercedes - Benz,E,200 Kompressor Avantgarde,2003,339.800 km,Otomatik,LPG & Benzin,Sedan,1796 cc,163 hp,Arkadan İtiş,"8,7 lt",Boya-değişen:,Takasa Uygun,Kimden:
275000,İSTANBUL / SİLİVRİ / ALİPAŞA MAHALLESİ,21520871,09 Aralık 2022,Volvo,S40,1.6,2005,200.000 km,Düz,LPG & Benzin,Sedan,1587 cc,109 hp,Önden Çekiş,"7,7 lt",Boya-değişen:,Takasa Uygun,Kimden:
